family_id,assigned_day
0,64
1,78
2,100
3,2
4,53
5,79
6,91
7,25
8,18
9,1
10,96
11,19
12,52
13,97
14,34
15,22
16,50
17,47
18,97
19,44
20,3
21,56
22,61
23,97
24,75
25,16
26,58
27,38
28,81
29,89
30,57
31,74
32,91
33,97
34,93
35,98
36,47
37,15
38,13
39,9
40,25
41,31
42,81
43,55
44,49
45,55
46,15
47,79
48,21
49,55
50,67
51,28
52,76
53,37
54,69
55,91
56,12
57,92
58,74
59,15
60,98
61,15
62,62
63,31
64,93
65,47
66,1
67,21
68,89
69,22
70,100
71,71
72,35
73,93
74,82
75,53
76,79
77,20
78,52
79,1
80,97
81,79
82,8
83,100
84,9
85,70
86,29
87,43
88,57
89,23
90,54
91,79
92,85
93,69
94,78
95,79
96,75
97,48
98,79
99,93
100,39
101,77
102,31
103,68
104,85
105,78
106,34
107,41
108,34
109,17
110,67
111,68
112,13
113,37
114,15
115,22
116,77
117,94
118,69
119,64
120,56
121,55
122,24
123,95
124,14
125,58
126,3
127,2
128,56
129,17
130,16
131,11
132,76
133,54
134,18
135,5
136,79
137,97
138,59
139,79
140,61
141,78
142,37
143,28
144,28
145,100
146,64
147,28
148,63
149,61
150,72
151,3
152,100
153,92
154,91
155,100
156,95
157,49
158,13
159,3
160,28
161,43
162,68
163,84
164,18
165,97
166,14
167,95
168,84
169,67
170,12
171,72
172,21
173,68
174,94
175,85
176,52
177,74
178,80
179,26
180,40
181,7
182,97
183,34
184,4
185,80
186,50
187,43
188,20
189,51
190,9
191,83
192,77
193,35
194,65
195,55
196,26
197,44
198,81
199,51
200,83
201,47
202,23
203,38
204,67
205,99
206,28
207,47
208,64
209,9
210,23
211,67
212,35
213,77
214,79
215,99
216,43
217,5
218,79
219,68
220,100
221,17
222,36
223,60
224,100
225,50
226,100
227,49
228,87
229,48
230,57
231,48
232,83
233,92
234,82
235,53
236,37
237,3
238,36
239,14
240,57
241,72
242,56
243,64
244,35
245,4
246,50
247,66
248,33
249,83
250,1
251,75
252,92
253,73
254,28
255,97
256,93
257,74
258,92
259,60
260,25
261,83
262,35
263,48
264,20
265,11
266,32
267,50
268,48
269,30
270,67
271,73
272,43
273,71
274,8
275,15
276,69
277,83
278,78
279,38
280,89
281,22
282,83
283,73
284,20
285,66
286,85
287,8
288,63
289,83
290,25
291,93
292,44
293,67
294,46
295,10
296,50
297,48
298,50
299,84
300,72
301,56
302,72
303,27
304,86
305,58
306,2
307,86
308,35
309,100
310,64
311,72
312,43
313,17
314,57
315,36
316,53
317,63
318,49
319,10
320,7
321,56
322,82
323,48
324,55
325,35
326,77
327,46
328,97
329,41
330,82
331,57
332,100
333,23
334,22
335,68
336,50
337,90
338,74
339,45
340,13
341,58
342,54
343,84
344,23
345,42
346,84
347,70
348,63
349,36
350,96
351,27
352,93
353,100
354,87
355,53
356,51
357,25
358,93
359,90
360,55
361,87
362,84
363,100
364,99
365,79
366,3
367,98
368,26
369,72
370,13
371,93
372,96
373,61
374,100
375,6
376,26
377,82
378,50
379,4
380,73
381,27
382,48
383,69
384,6
385,29
386,66
387,39
388,30
389,54
390,40
391,75
392,60
393,36
394,28
395,8
396,72
397,76
398,37
399,100
400,64
401,100
402,63
403,36
404,48
405,100
406,100
407,100
408,21
409,70
410,85
411,83
412,25
413,80
414,8
415,24
416,96
417,71
418,42
419,26
420,99
421,69
422,24
423,74
424,85
425,30
426,33
427,42
428,40
429,2
430,66
431,12
432,69
433,83
434,18
435,37
436,69
437,38
438,85
439,6
440,39
441,64
442,29
443,14
444,69
445,74
446,27
447,21
448,99
449,85
450,22
451,50
452,87
453,33
454,56
455,65
456,94
457,70
458,46
459,66
460,30
461,91
462,80
463,18
464,46
465,46
466,36
467,99
468,54
469,93
470,100
471,38
472,63
473,56
474,22
475,33
476,56
477,60
478,5
479,34
480,78
481,13
482,30
483,78
484,26
485,30
486,11
487,21
488,40
489,16
490,28
491,73
492,44
493,16
494,95
495,56
496,56
497,16
498,45
499,83
500,27
501,21
502,56
503,22
504,1
505,16
506,38
507,47
508,35
509,37
510,57
511,43
512,58
513,64
514,72
515,14
516,17
517,86
518,64
519,24
520,77
521,65
522,98
523,51
524,74
525,19
526,59
527,16
528,68
529,41
530,61
531,57
532,4
533,21
534,14
535,12
536,91
537,23
538,83
539,9
540,41
541,60
542,22
543,53
544,56
545,81
546,80
547,60
548,88
549,44
550,99
551,50
552,35
553,35
554,86
555,10
556,26
557,94
558,18
559,47
560,55
561,20
562,89
563,76
564,82
565,91
566,99
567,7
568,80
569,25
570,16
571,98
572,62
573,19
574,88
575,44
576,70
577,31
578,18
579,11
580,49
581,42
582,20
583,1
584,77
585,64
586,67
587,40
588,51
589,82
590,5
591,55
592,40
593,23
594,1
595,34
596,88
597,81
598,99
599,43
600,15
601,2
602,34
603,1
604,15
605,86
606,76
607,51
608,94
609,94
610,51
611,57
612,90
613,96
614,61
615,58
616,44
617,80
618,2
619,42
620,52
621,85
622,99
623,6
624,78
625,77
626,33
627,3
628,23
629,62
630,95
631,90
632,33
633,10
634,70
635,30
636,80
637,86
638,16
639,30
640,43
641,81
642,73
643,64
644,99
645,50
646,48
647,57
648,38
649,65
650,9
651,46
652,16
653,95
654,10
655,73
656,68
657,48
658,35
659,69
660,54
661,31
662,90
663,6
664,24
665,34
666,48
667,64
668,10
669,7
670,18
671,67
672,44
673,90
674,76
675,61
676,64
677,95
678,28
679,23
680,27
681,61
682,15
683,36
684,41
685,34
686,18
687,51
688,90
689,67
690,38
691,8
692,13
693,8
694,56
695,8
696,46
697,85
698,90
699,35
700,14
701,8
702,7
703,56
704,60
705,14
706,90
707,99
708,46
709,39
710,86
711,14
712,36
713,84
714,55
715,33
716,49
717,66
718,31
719,36
720,53
721,34
722,90
723,92
724,81
725,69
726,49
727,42
728,10
729,32
730,55
731,68
732,10
733,50
734,8
735,86
736,80
737,86
738,87
739,65
740,90
741,90
742,99
743,65
744,41
745,91
746,6
747,36
748,46
749,65
750,96
751,54
752,4
753,30
754,36
755,12
756,90
757,99
758,22
759,97
760,23
761,48
762,87
763,79
764,4
765,56
766,16
767,82
768,87
769,94
770,28
771,45
772,62
773,2
774,26
775,99
776,84
777,58
778,34
779,67
780,77
781,9
782,50
783,99
784,63
785,73
786,91
787,6
788,19
789,63
790,59
791,30
792,64
793,100
794,99
795,30
796,81
797,77
798,45
799,3
800,57
801,65
802,13
803,19
804,57
805,65
806,49
807,72
808,90
809,2
810,69
811,37
812,95
813,53
814,27
815,98
816,54
817,53
818,4
819,32
820,90
821,36
822,34
823,35
824,60
825,89
826,28
827,71
828,80
829,70
830,36
831,8
832,41
833,98
834,56
835,8
836,31
837,87
838,94
839,91
840,24
841,10
842,69
843,88
844,69
845,5
846,47
847,95
848,39
849,50
850,57
851,13
852,70
853,55
854,14
855,51
856,70
857,11
858,98
859,24
860,55
861,57
862,85
863,82
864,9
865,19
866,55
867,70
868,33
869,91
870,53
871,94
872,72
873,5
874,23
875,82
876,5
877,49
878,4
879,65
880,53
881,41
882,77
883,72
884,42
885,6
886,92
887,83
888,30
889,99
890,65
891,79
892,62
893,63
894,78
895,11
896,29
897,84
898,70
899,70
900,98
901,7
902,99
903,19
904,98
905,41
906,100
907,34
908,95
909,36
910,57
911,10
912,68
913,62
914,94
915,55
916,81
917,71
918,43
919,68
920,35
921,98
922,95
923,96
924,43
925,71
926,33
927,71
928,86
929,69
930,2
931,35
932,98
933,84
934,43
935,92
936,63
937,27
938,46
939,45
940,31
941,23
942,57
943,82
944,78
945,74
946,54
947,28
948,38
949,86
950,20
951,92
952,54
953,92
954,80
955,63
956,66
957,16
958,24
959,42
960,50
961,53
962,44
963,30
964,98
965,61
966,59
967,40
968,2
969,86
970,97
971,5
972,90
973,98
974,44
975,92
976,41
977,7
978,76
979,76
980,38
981,12
982,92
983,98
984,2
985,44
986,82
987,41
988,86
989,62
990,50
991,75
992,54
993,46
994,63
995,35
996,57
997,50
998,98
999,80
1000,25
1001,25
1002,56
1003,29
1004,71
1005,31
1006,95
1007,69
1008,73
1009,42
1010,99
1011,50
1012,67
1013,92
1014,52
1015,64
1016,17
1017,64
1018,16
1019,90
1020,60
1021,37
1022,73
1023,78
1024,24
1025,71
1026,49
1027,70
1028,13
1029,41
1030,83
1031,94
1032,92
1033,72
1034,17
1035,83
1036,25
1037,86
1038,94
1039,78
1040,23
1041,96
1042,15
1043,16
1044,68
1045,73
1046,13
1047,15
1048,72
1049,55
1050,78
1051,78
1052,62
1053,84
1054,9
1055,62
1056,27
1057,17
1058,79
1059,98
1060,23
1061,65
1062,24
1063,56
1064,75
1065,77
1066,2
1067,75
1068,3
1069,98
1070,49
1071,94
1072,59
1073,76
1074,54
1075,79
1076,76
1077,14
1078,54
1079,100
1080,58
1081,25
1082,76
1083,50
1084,89
1085,71
1086,20
1087,22
1088,88
1089,57
1090,91
1091,56
1092,33
1093,48
1094,19
1095,19
1096,76
1097,55
1098,16
1099,59
1100,76
1101,97
1102,62
1103,74
1104,3
1105,76
1106,8
1107,75
1108,25
1109,5
1110,1
1111,100
1112,67
1113,18
1114,7
1115,31
1116,74
1117,7
1118,73
1119,34
1120,33
1121,97
1122,64
1123,78
1124,84
1125,97
1126,21
1127,71
1128,14
1129,79
1130,77
1131,24
1132,28
1133,97
1134,97
1135,67
1136,32
1137,3
1138,92
1139,42
1140,36
1141,87
1142,76
1143,76
1144,76
1145,53
1146,81
1147,47
1148,41
1149,92
1150,23
1151,90
1152,19
1153,17
1154,88
1155,48
1156,98
1157,15
1158,39
1159,34
1160,76
1161,60
1162,17
1163,18
1164,46
1165,79
1166,36
1167,61
1168,17
1169,72
1170,16
1171,80
1172,2
1173,88
1174,76
1175,60
1176,54
1177,84
1178,97
1179,69
1180,76
1181,56
1182,92
1183,90
1184,92
1185,76
1186,2
1187,75
1188,4
1189,94
1190,4
1191,75
1192,7
1193,48
1194,47
1195,43
1196,67
1197,72
1198,50
1199,16
1200,16
1201,11
1202,34
1203,100
1204,25
1205,9
1206,42
1207,7
1208,43
1209,74
1210,100
1211,49
1212,88
1213,50
1214,100
1215,92
1216,68
1217,41
1218,62
1219,78
1220,84
1221,77
1222,28
1223,58
1224,8
1225,71
1226,93
1227,18
1228,19
1229,21
1230,40
1231,87
1232,67
1233,71
1234,93
1235,45
1236,82
1237,43
1238,50
1239,50
1240,13
1241,72
1242,57
1243,58
1244,94
1245,72
1246,2
1247,79
1248,72
1249,39
1250,38
1251,29
1252,93
1253,72
1254,37
1255,89
1256,79
1257,88
1258,93
1259,70
1260,86
1261,98
1262,92
1263,91
1264,98
1265,83
1266,37
1267,23
1268,54
1269,28
1270,86
1271,95
1272,56
1273,27
1274,93
1275,5
1276,7
1277,49
1278,82
1279,57
1280,9
1281,76
1282,30
1283,29
1284,2
1285,38
1286,97
1287,91
1288,93
1289,39
1290,77
1291,34
1292,35
1293,77
1294,75
1295,95
1296,34
1297,96
1298,77
1299,99
1300,37
1301,9
1302,27
1303,80
1304,58
1305,5
1306,22
1307,60
1308,58
1309,57
1310,46
1311,6
1312,10
1313,56
1314,71
1315,71
1316,93
1317,71
1318,28
1319,43
1320,54
1321,70
1322,93
1323,96
1324,46
1325,23
1326,25
1327,14
1328,85
1329,70
1330,90
1331,11
1332,91
1333,53
1334,55
1335,71
1336,43
1337,78
1338,85
1339,77
1340,23
1341,67
1342,48
1343,34
1344,43
1345,32
1346,28
1347,20
1348,30
1349,50
1350,21
1351,9
1352,70
1353,11
1354,14
1355,57
1356,49
1357,6
1358,30
1359,31
1360,98
1361,98
1362,83
1363,99
1364,41
1365,91
1366,14
1367,2
1368,26
1369,93
1370,43
1371,85
1372,75
1373,49
1374,93
1375,32
1376,7
1377,18
1378,93
1379,23
1380,80
1381,52
1382,41
1383,92
1384,62
1385,71
1386,29
1387,48
1388,63
1389,74
1390,42
1391,74
1392,53
1393,70
1394,38
1395,100
1396,90
1397,2
1398,57
1399,43
1400,22
1401,72
1402,70
1403,87
1404,27
1405,53
1406,90
1407,44
1408,93
1409,95
1410,53
1411,54
1412,86
1413,86
1414,89
1415,97
1416,3
1417,73
1418,42
1419,9
1420,59
1421,23
1422,91
1423,2
1424,51
1425,90
1426,43
1427,32
1428,93
1429,31
1430,20
1431,49
1432,93
1433,100
1434,16
1435,99
1436,96
1437,47
1438,7
1439,69
1440,23
1441,37
1442,70
1443,100
1444,81
1445,35
1446,7
1447,11
1448,89
1449,51
1450,66
1451,50
1452,28
1453,81
1454,25
1455,58
1456,24
1457,88
1458,20
1459,93
1460,2
1461,58
1462,93
1463,96
1464,59
1465,98
1466,64
1467,20
1468,100
1469,88
1470,33
1471,48
1472,94
1473,70
1474,99
1475,72
1476,69
1477,1
1478,65
1479,88
1480,23
1481,80
1482,97
1483,85
1484,73
1485,67
1486,99
1487,64
1488,54
1489,56
1490,62
1491,97
1492,41
1493,41
1494,7
1495,30
1496,49
1497,20
1498,96
1499,64
1500,46
1501,63
1502,84
1503,99
1504,100
1505,66
1506,19
1507,18
1508,69
1509,62
1510,34
1511,28
1512,48
1513,40
1514,93
1515,77
1516,50
1517,8
1518,27
1519,6
1520,48
1521,20
1522,86
1523,90
1524,11
1525,52
1526,18
1527,47
1528,96
1529,46
1530,33
1531,93
1532,42
1533,66
1534,71
1535,93
1536,54
1537,49
1538,16
1539,52
1540,99
1541,15
1542,22
1543,16
1544,69
1545,80
1546,52
1547,47
1548,62
1549,85
1550,22
1551,7
1552,99
1553,53
1554,83
1555,37
1556,81
1557,39
1558,2
1559,29
1560,88
1561,17
1562,7
1563,6
1564,59
1565,97
1566,15
1567,37
1568,36
1569,63
1570,62
1571,91
1572,81
1573,82
1574,6
1575,85
1576,91
1577,74
1578,58
1579,85
1580,31
1581,98
1582,55
1583,65
1584,46
1585,28
1586,29
1587,88
1588,20
1589,76
1590,45
1591,89
1592,6
1593,62
1594,65
1595,50
1596,95
1597,1
1598,15
1599,87
1600,97
1601,22
1602,7
1603,7
1604,78
1605,97
1606,51
1607,59
1608,26
1609,21
1610,26
1611,77
1612,30
1613,93
1614,36
1615,88
1616,41
1617,52
1618,8
1619,50
1620,43
1621,71
1622,45
1623,14
1624,9
1625,84
1626,54
1627,13
1628,53
1629,60
1630,52
1631,42
1632,30
1633,65
1634,49
1635,95
1636,90
1637,67
1638,63
1639,83
1640,30
1641,97
1642,49
1643,81
1644,72
1645,36
1646,80
1647,68
1648,11
1649,6
1650,21
1651,93
1652,21
1653,1
1654,40
1655,68
1656,37
1657,56
1658,56
1659,65
1660,41
1661,39
1662,18
1663,36
1664,10
1665,36
1666,18
1667,53
1668,7
1669,8
1670,88
1671,55
1672,58
1673,37
1674,57
1675,13
1676,97
1677,27
1678,85
1679,26
1680,55
1681,33
1682,91
1683,7
1684,77
1685,73
1686,71
1687,21
1688,87
1689,97
1690,47
1691,4
1692,32
1693,97
1694,63
1695,100
1696,17
1697,83
1698,67
1699,12
1700,73
1701,52
1702,99
1703,69
1704,60
1705,66
1706,17
1707,57
1708,72
1709,56
1710,43
1711,34
1712,64
1713,54
1714,40
1715,17
1716,35
1717,11
1718,78
1719,23
1720,24
1721,43
1722,41
1723,29
1724,60
1725,31
1726,3
1727,95
1728,35
1729,44
1730,2
1731,15
1732,34
1733,70
1734,21
1735,97
1736,28
1737,17
1738,29
1739,62
1740,98
1741,27
1742,48
1743,35
1744,52
1745,74
1746,73
1747,84
1748,21
1749,68
1750,51
1751,69
1752,64
1753,64
1754,4
1755,66
1756,65
1757,75
1758,55
1759,97
1760,59
1761,25
1762,92
1763,92
1764,92
1765,22
1766,56
1767,36
1768,25
1769,24
1770,75
1771,45
1772,92
1773,61
1774,46
1775,26
1776,58
1777,57
1778,35
1779,29
1780,90
1781,97
1782,40
1783,16
1784,92
1785,37
1786,7
1787,49
1788,57
1789,23
1790,74
1791,27
1792,81
1793,92
1794,100
1795,23
1796,74
1797,9
1798,26
1799,98
1800,42
1801,56
1802,48
1803,9
1804,49
1805,96
1806,28
1807,66
1808,31
1809,12
1810,92
1811,97
1812,90
1813,1
1814,97
1815,25
1816,68
1817,45
1818,92
1819,3
1820,82
1821,68
1822,10
1823,75
1824,42
1825,37
1826,44
1827,72
1828,51
1829,38
1830,2
1831,18
1832,11
1833,10
1834,7
1835,88
1836,54
1837,76
1838,61
1839,57
1840,7
1841,76
1842,40
1843,92
1844,75
1845,55
1846,2
1847,82
1848,90
1849,21
1850,70
1851,64
1852,87
1853,83
1854,15
1855,49
1856,62
1857,93
1858,59
1859,91
1860,2
1861,44
1862,86
1863,35
1864,68
1865,37
1866,55
1867,16
1868,92
1869,9
1870,95
1871,61
1872,74
1873,19
1874,61
1875,74
1876,34
1877,41
1878,73
1879,93
1880,59
1881,49
1882,44
1883,29
1884,99
1885,81
1886,9
1887,59
1888,61
1889,75
1890,8
1891,42
1892,87
1893,84
1894,76
1895,95
1896,63
1897,31
1898,45
1899,27
1900,7
1901,97
1902,52
1903,10
1904,32
1905,35
1906,89
1907,98
1908,21
1909,93
1910,34
1911,64
1912,60
1913,77
1914,31
1915,59
1916,98
1917,78
1918,64
1919,84
1920,30
1921,29
1922,39
1923,84
1924,37
1925,89
1926,50
1927,92
1928,56
1929,38
1930,71
1931,64
1932,85
1933,77
1934,56
1935,27
1936,30
1937,69
1938,64
1939,59
1940,3
1941,60
1942,42
1943,6
1944,6
1945,48
1946,19
1947,13
1948,57
1949,33
1950,92
1951,69
1952,79
1953,26
1954,31
1955,26
1956,92
1957,83
1958,23
1959,50
1960,47
1961,32
1962,6
1963,73
1964,92
1965,22
1966,92
1967,15
1968,52
1969,27
1970,7
1971,94
1972,17
1973,33
1974,52
1975,73
1976,98
1977,89
1978,15
1979,97
1980,37
1981,85
1982,45
1983,28
1984,87
1985,73
1986,34
1987,76
1988,29
1989,83
1990,37
1991,97
1992,5
1993,67
1994,93
1995,81
1996,47
1997,90
1998,84
1999,27
2000,38
2001,55
2002,94
2003,19
2004,84
2005,96
2006,32
2007,6
2008,89
2009,7
2010,14
2011,28
2012,87
2013,14
2014,72
2015,22
2016,92
2017,37
2018,96
2019,94
2020,2
2021,88
2022,65
2023,48
2024,74
2025,92
2026,32
2027,36
2028,16
2029,2
2030,98
2031,54
2032,23
2033,98
2034,43
2035,59
2036,66
2037,94
2038,15
2039,22
2040,24
2041,80
2042,27
2043,35
2044,9
2045,43
2046,20
2047,95
2048,98
2049,94
2050,91
2051,10
2052,32
2053,62
2054,50
2055,98
2056,74
2057,39
2058,73
2059,53
2060,50
2061,42
2062,8
2063,7
2064,4
2065,39
2066,50
2067,67
2068,32
2069,83
2070,98
2071,60
2072,85
2073,83
2074,99
2075,91
2076,78
2077,9
2078,63
2079,35
2080,91
2081,37
2082,49
2083,99
2084,44
2085,98
2086,98
2087,54
2088,25
2089,43
2090,63
2091,62
2092,24
2093,22
2094,98
2095,82
2096,27
2097,26
2098,36
2099,61
2100,34
2101,98
2102,64
2103,36
2104,88
2105,30
2106,16
2107,87
2108,21
2109,15
2110,96
2111,29
2112,66
2113,14
2114,38
2115,87
2116,13
2117,27
2118,92
2119,42
2120,53
2121,50
2122,33
2123,61
2124,68
2125,55
2126,61
2127,92
2128,92
2129,11
2130,99
2131,41
2132,26
2133,57
2134,42
2135,31
2136,8
2137,88
2138,90
2139,33
2140,68
2141,52
2142,96
2143,36
2144,84
2145,70
2146,51
2147,67
2148,40
2149,48
2150,41
2151,55
2152,9
2153,77
2154,16
2155,99
2156,77
2157,29
2158,95
2159,26
2160,98
2161,74
2162,29
2163,94
2164,17
2165,88
2166,87
2167,44
2168,95
2169,8
2170,81
2171,69
2172,70
2173,33
2174,70
2175,30
2176,65
2177,92
2178,96
2179,15
2180,24
2181,15
2182,53
2183,43
2184,76
2185,91
2186,37
2187,30
2188,44
2189,53
2190,74
2191,90
2192,86
2193,7
2194,86
2195,60
2196,91
2197,17
2198,97
2199,98
2200,93
2201,98
2202,16
2203,98
2204,57
2205,17
2206,36
2207,1
2208,80
2209,95
2210,10
2211,20
2212,66
2213,71
2214,60
2215,58
2216,58
2217,41
2218,35
2219,19
2220,65
2221,6
2222,65
2223,24
2224,52
2225,58
2226,57
2227,66
2228,47
2229,3
2230,20
2231,43
2232,42
2233,8
2234,52
2235,98
2236,22
2237,21
2238,83
2239,91
2240,99
2241,59
2242,5
2243,65
2244,68
2245,30
2246,44
2247,75
2248,97
2249,74
2250,80
2251,65
2252,36
2253,8
2254,8
2255,98
2256,14
2257,60
2258,29
2259,65
2260,56
2261,66
2262,21
2263,33
2264,91
2265,7
2266,40
2267,21
2268,41
2269,91
2270,14
2271,78
2272,24
2273,33
2274,79
2275,24
2276,28
2277,91
2278,73
2279,4
2280,98
2281,88
2282,16
2283,33
2284,64
2285,81
2286,63
2287,95
2288,91
2289,61
2290,43
2291,30
2292,49
2293,98
2294,62
2295,66
2296,15
2297,55
2298,64
2299,13
2300,85
2301,65
2302,75
2303,81
2304,93
2305,91
2306,6
2307,23
2308,40
2309,10
2310,21
2311,65
2312,70
2313,91
2314,39
2315,35
2316,57
2317,65
2318,87
2319,73
2320,23
2321,13
2322,87
2323,68
2324,62
2325,25
2326,87
2327,62
2328,74
2329,78
2330,94
2331,84
2332,14
2333,30
2334,37
2335,97
2336,58
2337,41
2338,65
2339,47
2340,100
2341,13
2342,90
2343,44
2344,100
2345,6
2346,74
2347,40
2348,75
2349,99
2350,90
2351,44
2352,81
2353,35
2354,98
2355,59
2356,6
2357,44
2358,24
2359,79
2360,84
2361,45
2362,11
2363,82
2364,5
2365,94
2366,40
2367,56
2368,10
2369,75
2370,15
2371,20
2372,35
2373,78
2374,19
2375,80
2376,45
2377,72
2378,20
2379,60
2380,60
2381,95
2382,86
2383,61
2384,72
2385,7
2386,56
2387,80
2388,77
2389,30
2390,44
2391,99
2392,51
2393,83
2394,85
2395,24
2396,20
2397,45
2398,78
2399,10
2400,65
2401,67
2402,72
2403,46
2404,4
2405,25
2406,63
2407,71
2408,99
2409,7
2410,90
2411,65
2412,8
2413,75
2414,39
2415,72
2416,18
2417,51
2418,5
2419,63
2420,52
2421,100
2422,72
2423,12
2424,70
2425,3
2426,27
2427,50
2428,53
2429,12
2430,45
2431,42
2432,71
2433,56
2434,13
2435,14
2436,48
2437,61
2438,55
2439,35
2440,94
2441,22
2442,5
2443,29
2444,69
2445,20
2446,50
2447,54
2448,100
2449,69
2450,58
2451,62
2452,85
2453,77
2454,12
2455,48
2456,60
2457,41
2458,58
2459,89
2460,69
2461,2
2462,99
2463,16
2464,69
2465,63
2466,66
2467,71
2468,21
2469,26
2470,45
2471,3
2472,39
2473,51
2474,12
2475,23
2476,75
2477,27
2478,98
2479,58
2480,95
2481,69
2482,86
2483,5
2484,19
2485,28
2486,26
2487,69
2488,17
2489,74
2490,47
2491,13
2492,82
2493,73
2494,3
2495,57
2496,84
2497,70
2498,27
2499,46
2500,99
2501,77
2502,20
2503,37
2504,20
2505,24
2506,75
2507,70
2508,55
2509,54
2510,9
2511,10
2512,30
2513,34
2514,1
2515,61
2516,81
2517,17
2518,24
2519,2
2520,36
2521,58
2522,9
2523,70
2524,7
2525,29
2526,26
2527,42
2528,53
2529,64
2530,3
2531,40
2532,38
2533,41
2534,41
2535,88
2536,68
2537,91
2538,65
2539,35
2540,59
2541,53
2542,77
2543,95
2544,61
2545,99
2546,70
2547,31
2548,99
2549,17
2550,41
2551,20
2552,53
2553,6
2554,49
2555,59
2556,71
2557,50
2558,34
2559,26
2560,48
2561,16
2562,70
2563,80
2564,69
2565,58
2566,21
2567,9
2568,89
2569,29
2570,21
2571,12
2572,21
2573,13
2574,8
2575,86
2576,86
2577,75
2578,41
2579,99
2580,83
2581,10
2582,84
2583,55
2584,27
2585,98
2586,67
2587,37
2588,99
2589,32
2590,4
2591,9
2592,69
2593,69
2594,31
2595,22
2596,64
2597,2
2598,37
2599,99
2600,2
2601,99
2602,51
2603,70
2604,12
2605,44
2606,89
2607,85
2608,75
2609,72
2610,89
2611,71
2612,99
2613,96
2614,58
2615,53
2616,48
2617,36
2618,11
2619,70
2620,79
2621,87
2622,21
2623,16
2624,47
2625,36
2626,43
2627,26
2628,92
2629,86
2630,79
2631,19
2632,23
2633,90
2634,59
2635,12
2636,55
2637,30
2638,94
2639,12
2640,8
2641,23
2642,5
2643,85
2644,86
2645,42
2646,37
2647,6
2648,50
2649,14
2650,2
2651,2
2652,11
2653,33
2654,45
2655,6
2656,81
2657,99
2658,40
2659,63
2660,99
2661,16
2662,44
2663,29
2664,57
2665,99
2666,24
2667,85
2668,29
2669,70
2670,44
2671,33
2672,65
2673,15
2674,18
2675,87
2676,27
2677,50
2678,44
2679,44
2680,67
2681,89
2682,97
2683,75
2684,51
2685,67
2686,37
2687,40
2688,40
2689,48
2690,12
2691,11
2692,58
2693,28
2694,87
2695,99
2696,56
2697,43
2698,1
2699,63
2700,31
2701,31
2702,89
2703,44
2704,68
2705,71
2706,21
2707,23
2708,86
2709,68
2710,2
2711,13
2712,20
2713,48
2714,15
2715,82
2716,57
2717,6
2718,71
2719,70
2720,51
2721,5
2722,1
2723,59
2724,86
2725,52
2726,12
2727,38
2728,78
2729,58
2730,54
2731,70
2732,30
2733,100
2734,39
2735,28
2736,36
2737,63
2738,56
2739,51
2740,5
2741,34
2742,97
